title,rating,release year,family_friendly,age,titleType,startYear,runtimeMinutes,genres,IMDb Rating,numVotes
White Chicks,PG-13,2004,1,teen,movie,2004,109,"Comedy,Crime",5.9,195370
Lucky Number Slevin,R,2006,0,adult,movie,2006,110,"Crime,Drama,Thriller",7.7,339427
The Hunter,R,2011,0,adult,movie,2011,100,"Adventure,Drama,Thriller",6.7,42774
Hyena Road,R,2015,0,adult,movie,2015,120,"Drama,War",6.5,10053
"Sex, Love and Therapy",NR,2014,0,adult,movie,2014,88,"Comedy,Romance",5.4,2514
White Girl,UR,2016,0,adult,movie,2016,88,"Crime,Drama",5.7,12472
Zootopia,PG,2016,1,teen,movie,2016,108,"Action,Adventure,Animation",8.0,640168
Meet the Blacks,R,2016,0,adult,movie,2016,94,"Comedy,Horror",4.8,38636
Finding Dory,PG,2016,1,teen,movie,2016,97,"Adventure,Animation,Comedy",7.2,335487
Sausage Party,R,2016,0,adult,movie,2016,89,"Adventure,Animation,Comedy",6.1,227615
Pete's Dragon,PG,2016,1,teen,movie,2016,102,"Action,Adventure,Comedy",6.7,64532
Kevin Hart: What Now?,R,2016,0,adult,movie,2016,96,"Comedy,Documentary",6.0,10301
The Life Aquatic with Steve Zissou,R,2004,0,adult,movie,2004,119,"Action,Adventure,Comedy",7.2,221385
5 to 7,R,2014,0,adult,movie,2014,95,"Comedy,Drama,Romance",7.1,22394
Almost Adults,NR,2016,0,adult,movie,2016,90,"Comedy,Drama",5.6,3261
The Brothers,R,2001,0,adult,movie,2001,106,"Comedy,Drama,Romance",6.3,5330
Dope,R,2015,0,adult,movie,2015,103,"Adventure,Comedy,Crime",7.2,92007
Kubo and the Two Strings,PG,2016,1,teen,movie,2016,101,"Action,Adventure,Animation",7.7,147265
Queen of Katwe,PG,2016,1,teen,movie,2016,124,"Biography,Drama,Sport",7.4,20077
Honeytrap,NR,2014,0,adult,movie,2014,93,"Crime,Drama,Romance",5.9,886
Like Cotton Twines,NR,2016,0,adult,movie,2016,96,Drama,7.8,84
Nancy Drew,PG,2007,1,teen,movie,2007,99,"Comedy,Crime,Family",5.9,22493
The Angriest Man in Brooklyn,R,2014,0,adult,movie,2014,83,"Comedy,Drama",5.7,25486
The Matchbreaker,PG,2016,1,teen,movie,2016,94,"Comedy,Romance",5.6,2999
The Waterboy,PG-13,1998,1,teen,movie,1998,90,"Comedy,Sport",6.2,192626
10 Things I Hate About You,PG-13,1999,1,teen,movie,1999,97,"Comedy,Drama,Romance",7.4,453252
Grease,PG,1978,1,teen,movie,1978,110,"Comedy,Musical,Romance",7.2,327075
How to Lose a Guy in 10 Days,PG-13,2003,1,teen,movie,2003,116,"Comedy,Romance",6.5,324242
The Benchwarmers,PG-13,2006,1,teen,movie,2006,85,"Comedy,Sport",5.6,58603
Step Up,PG-13,2006,1,teen,movie,2006,104,"Crime,Drama,Music",6.5,134607
Twilight,PG-13,2008,1,teen,movie,2008,122,"Drama,Fantasy,Romance",5.4,528459
Coraline,PG,2009,1,teen,movie,2009,100,"Animation,Drama,Family",7.8,301709
Hannah Montana: The Movie,G,2009,1,kid,movie,2009,102,"Comedy,Drama,Family",4.8,49301
Mean Girls 2,PG-13,2011,1,teen,tvMovie,2011,96,"Comedy,Drama",4.1,27342
Safe Haven,PG-13,2013,1,teen,movie,2013,115,"Drama,Romance,Thriller",6.7,121601
The Wedding Planner,PG-13,2001,1,teen,movie,2001,103,"Comedy,Romance",5.4,93252
Blow,R,2001,0,adult,movie,2001,124,"Biography,Crime,Drama",7.5,287849
Magic Mike,R,2012,0,adult,movie,2012,110,"Comedy,Drama,Music",6.1,152885
Trouble with the Curve,PG-13,2012,1,teen,movie,2012,111,"Drama,Romance,Sport",6.8,72334
Home,PG,2015,1,teen,movie,2015,94,"Adventure,Animation,Comedy",6.5,121806
Unconditional,PG-13,2012,1,teen,movie,2012,92,"Biography,Crime,Drama",7.0,5123
London Has Fallen,R,2016,0,adult,movie,2016,99,"Action,Thriller",5.9,180985
I.T,NR,2016,0,adult,movie,2016,95,"Crime,Drama,Mystery",5.5,17627
The Nightmare Before Christmas,PG,1993,1,teen,movie,1993,76,"Adventure,Animation,Family",7.9,412373
Scooby-Doo,PG,2002,1,teen,movie,2002,86,"Adventure,Comedy,Family",5.4,141616
Chicken Little,G,2005,1,kid,movie,2005,81,"Adventure,Animation,Comedy",5.7,109657
Star Wars: The Clone Wars,PG,2008,1,teen,movie,2008,98,"Action,Adventure,Animation",6.0,83054
We're Back! A Dinosaur's Story,G,1993,1,kid,movie,1993,72,"Adventure,Animation,Comedy",6.1,17268
Agent F.O.X.,PG,2014,1,teen,movie,2014,83,"Adventure,Animation,Comedy",3.2,315
The Jungle Book,PG,2016,1,teen,movie,2016,106,"Action,Adventure,Animation",7.3,306292
The Angry Birds Movie,PG,2016,1,teen,movie,2016,97,"Action,Adventure,Animation",6.3,118571
The Secret Life of Pets,PG,2016,1,teen,movie,2016,86,"Adventure,Animation,Comedy",6.5,236737
The Iron Giant,PG,1999,1,teen,movie,1999,86,"Action,Adventure,Animation",8.1,261832
Ratchet and Clank,PG,2016,1,teen,movie,2016,94,"Action,Adventure,Animation",5.5,12603
The Little Rascals,PG,1994,1,teen,movie,1994,82,"Comedy,Family,Romance",6.4,61673
Flubber,PG,1997,1,teen,movie,1997,93,"Comedy,Family,Sci-Fi",5.3,100508
Tarzan,G,1999,1,kid,movie,1999,88,"Adventure,Animation,Comedy",7.3,269779
The Emperor's New Groove,G,2000,1,kid,movie,2000,78,"Adventure,Animation,Comedy",7.4,250017
Lilo & Stitch,PG,2002,1,teen,movie,2002,85,"Adventure,Animation,Comedy",7.4,244805
Scooby-Doo 2: Monsters Unleashed,PG,2004,1,teen,movie,2004,93,"Adventure,Comedy,Family",5.4,73342
The Pacifier,PG,2005,1,teen,movie,2005,95,"Action,Comedy,Drama",5.6,107186
Bee Movie,PG,2007,1,teen,movie,2007,91,"Adventure,Animation,Comedy",6.1,198155
Kung Fu Panda,PG,2008,1,teen,movie,2008,92,"Action,Adventure,Animation",7.6,582798
Hotel Transylvania 2,PG,2015,1,teen,movie,2015,89,"Adventure,Animation,Comedy",6.6,163116
Goosebumps,PG,2015,1,teen,movie,2015,103,"Adventure,Animation,Comedy",6.3,102738
Kung Fu Panda 3,PG,2016,1,teen,movie,2016,95,"Action,Adventure,Animation",7.1,219835
Open Season: Scared Silly,PG,2015,1,teen,movie,2015,84,"Adventure,Animation,Comedy",5.0,4743
Alice Through the Looking Glass,PG,2016,1,teen,movie,2016,113,"Adventure,Animation,Family",6.2,135312
Antz,PG,1998,1,teen,movie,1998,83,"Adventure,Animation,Comedy",6.5,171470
Chicken Run,G,2000,1,kid,movie,2000,84,"Adventure,Animation,Comedy",7.1,225425
Spy Kids 3: Game Over,PG,2003,1,teen,movie,2003,84,"Action,Adventure,Comedy",4.4,71594
Annie,PG,1982,1,teen,movie,1982,127,"Comedy,Drama,Family",6.6,53634
Paddington,PG,2014,1,teen,movie,2014,95,"Adventure,Comedy,Family",7.3,157101
Minions,PG,2015,1,teen,movie,2015,91,"Adventure,Animation,Comedy",6.4,285852
The Little Prince,PG,2015,1,teen,movie,2015,108,"Adventure,Animation,Comedy",7.6,71671
Cool Runnings,PG,1993,1,teen,movie,1993,98,"Adventure,Comedy,Family",7.0,123937
Homeward Bound: The Incredible Journey,G,1993,1,kid,movie,1993,84,"Adventure,Comedy,Drama",7.0,55549
Anastasia,G,1997,1,kid,movie,1997,94,"Adventure,Animation,Drama",7.2,147372
Curious George,G,2006,1,kid,movie,2006,87,"Adventure,Animation,Comedy",6.5,19563
Secret of the Wings,G,2012,1,kid,movie,2012,75,"Animation,Family,Fantasy",7.0,16412
The BFG,PG,2016,1,teen,movie,2016,117,"Adventure,Family,Fantasy",6.3,99899
Babe: Pig in the City,G,1998,1,kid,movie,1998,97,"Adventure,Comedy,Drama",5.9,37606
The Prince of Egypt,PG,1998,1,teen,movie,1998,99,"Adventure,Animation,Drama",7.2,162954
Paulie,PG,1998,1,teen,movie,1998,91,"Adventure,Comedy,Drama",6.5,17504
The Road to El Dorado,PG,2000,1,teen,movie,2000,89,"Adventure,Animation,Comedy",6.9,119551
Fantasia,G,1940,1,kid,movie,1940,124,"Animation,Family,Fantasy",7.7,111536
An American Tail,G,1986,1,kid,movie,1986,80,"Adventure,Animation,Comedy",6.9,61707
Balto,G,1995,1,kid,movie,1995,78,"Adventure,Animation,Drama",7.1,52037
An American Tail: The Mystery of the Night Monster,G,1999,1,kid,movie,1999,78,"Adventure,Animation,Family",5.7,1604
An American Tail: Fievel Goes West,G,1991,1,kid,movie,1991,75,"Adventure,Animation,Comedy",6.5,30292
The Last Unicorn,G,1982,1,kid,movie,1982,92,"Adventure,Animation,Drama",7.3,33285
Jetsons: The Movie,G,1990,1,kid,movie,1990,82,"Animation,Comedy,Family",5.6,6149
A Monster in Paris,PG,2011,1,teen,movie,2011,90,"Adventure,Animation,Comedy",6.7,24330
Ernest & Celestine,PG,2012,1,teen,movie,2012,80,"Adventure,Animation,Comedy",7.8,24422
Jack and the Cuckoo-Clock Heart,PG,2013,1,teen,movie,2013,94,"Adventure,Animation,Drama",6.9,8235
Axel: The Biggest Little Hero,PG,2013,1,teen,movie,2013,80,"Adventure,Animation,Comedy",4.5,163
The Boxcar Children,G,2014,1,kid,movie,2014,86,"Adventure,Animation,Family",6.5,697
Quackerz,PG,2016,1,teen,movie,2016,81,"Adventure,Animation,Comedy",4.3,766
Blinky Bill: The Movie,PG,2015,1,teen,movie,2015,93,"Adventure,Animation,Family",5.1,960
FernGully: The Last Rainforest,G,1992,1,kid,movie,1992,76,"Adventure,Animation,Family",6.6,37495
The Lizzie McGuire Movie,PG,2003,1,teen,movie,2003,94,"Adventure,Comedy,Family",5.6,43625
The Hero of Color City,G,2014,1,kid,movie,2014,77,"Adventure,Animation,Family",3.9,842
The Little Engine That Could,G,2011,1,kid,movie,2011,83,"Animation,Family",5.6,481
Delhi Safari,PG,2012,1,teen,movie,2012,96,"Adventure,Animation,Comedy",5.6,2255
Ribbit,PG,2014,1,teen,movie,2014,88,"Adventure,Animation,Comedy",4.1,798
Worms,PG,2013,1,teen,movie,2013,80,"Adventure,Animation,Family",4.8,254
Harry and the Hendersons,PG,1987,1,teen,movie,1987,110,"Comedy,Family,Fantasy",6.1,39682
Cats & Dogs,PG,2001,1,teen,movie,2001,87,"Action,Adventure,Comedy",5.2,65802
Atlantis: The Lost Empire,PG,2001,1,teen,movie,2001,95,"Action,Adventure,Animation",6.9,148360
Pooh's Heffalump Movie,G,2005,1,kid,movie,2005,68,"Adventure,Animation,Comedy",6.4,9407
Corpse Bride,PG,2005,1,teen,movie,2005,77,"Animation,Comedy,Drama",7.4,329183
Underdogs,PG,2013,1,teen,movie,2013,85,"Adventure,Animation,Comedy",6.4,11381
Yellowbird,PG,2014,1,teen,movie,2014,90,"Adventure,Animation,Comedy",5.5,1967
Mr. Magoo,PG,1997,1,teen,movie,1997,87,"Adventure,Comedy,Family",4.1,16935
Baby's Day Out,PG,1994,1,teen,movie,1994,99,"Adventure,Comedy,Crime",6.3,60804
Blank Check,PG,1994,1,teen,movie,1994,93,"Comedy,Crime,Family",5.3,24018
Heavyweights,PG,1995,1,teen,movie,1995,97,"Comedy,Drama,Family",6.6,33361
D2: The Mighty Ducks,PG,1994,1,teen,movie,1994,106,"Comedy,Drama,Family",6.1,45931
"Honey, I Shrunk the Kids",PG,1989,1,teen,movie,1989,93,"Adventure,Comedy,Family",6.4,177758
Dolphin Tale,PG,2011,1,teen,movie,2011,113,"Drama,Family",6.8,26918
Russell Madness,PG,2015,1,teen,movie,2015,92,"Family,Sport",4.3,797
